product_name,brand,Category,city,order_date,month,retail_price,discounted_price,discount_pct,discount_band,price_band,units_sold,revenue,product_rating_clean,Rating_Status,,,,,
Alisha Solid Women's Cycling Shorts,Alisha,Clothing,Bengaluru,15-06-2023,2023-06,999,379,62.1,50%+,Mid (500-1500),124,7700,0,Not Rated,,,,,
FabHomeDecor Fabric Double Sofa Bed,FabHomeDecor,Furniture,Bengaluru,18-07-2023,2023-07,32157,22646,29.6,10-30%,Luxury (5000+),398,11781,0,Not Rated,,,,,
AW Bellies,AW,Footwear,Chennai,19-08-2023,2023-08,999,499,50.1,50%+,Mid (500-1500),140,7014,0,Not Rated,,,,,
Alisha Solid Women's Cycling Shorts,Alisha,Clothing,Pune,18-04-2023,2023-04,699,267,61.8,50%+,Mid (500-1500),115,7107,0,Not Rated,,,,,
Sicons All Purpose Arnica Dog Shampoo,Sicons,Pet Supplies,Chennai,03-05-2023,2023-05,220,210,4.5,0-10%,Budget (<500),319,1436,0,Not Rated,,,,,
Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,Eternal Gandhi,Unknown,Delhi,03-07-2023,2023-07,430,430,0,0-10%,Budget (<500),101,0,0,Not Rated,,,,,
Alisha Solid Women's Cycling Shorts,Alisha,Clothing,Delhi,12-08-2023,2023-08,1199,479,60.1,50%+,Mid (500-1500),329,19773,0,Not Rated,,,,,
FabHomeDecor Fabric Double Sofa Bed,FabHomeDecor,Furniture,Hyderabad,23-05-2023,2023-05,32157,22646,29.6,10-30%,Luxury (5000+),12,355,0,Not Rated,,,,,
"dilli bazaaar Bellies, Corporate Casuals, Casuals",dilli bazaaar,Footwear,Bengaluru,15-05-2023,2023-05,699,349,50.1,50%+,Mid (500-1500),325,16283,0,Not Rated,,,,,
Alisha Solid Women's Cycling Shorts,Alisha,Clothing,Hyderabad,27-05-2023,2023-05,1199,479,60.1,50%+,Mid (500-1500),435,26144,0,Not Rated,,,,,
Ladela Bellies,Ladela,Footwear,Pune,05-11-2023,2023-11,1724,950,44.9,30-50%,Premium (1500-5000),300,13470,5,Rated,,,,,
Carrel Printed Women's,Carrel,Clothing,Delhi,01-06-2023,2023-06,2299,910,60.4,50%+,Premium (1500-5000),93,5617,0,Not Rated,,,,,
Sicons All Purpose Tea Tree Dog Shampoo,Sicons,Pet Supplies,Mumbai,13-09-2023,2023-09,500,500,0,0-10%,Mid (500-1500),354,0,0,Not Rated,,,,,
Alisha Solid Women's Cycling Shorts,Alisha,Clothing,Delhi,26-05-2023,2023-05,999,379,62.1,50%+,Mid (500-1500),24,1490,0,Not Rated,,,,,
Freelance Vacuum Bottles 350 ml Bottle,Freelance,Pens & Stationery,Chennai,22-08-2023,2023-08,699,699,0,0-10%,Mid (500-1500),393,0,0,Not Rated,,,,,
Alisha Solid Women's Cycling Shorts,Alisha,Clothing,Delhi,17-08-2023,2023-08,999,379,62.1,50%+,Mid (500-1500),285,17699,0,Not Rated,,,,,
FabHomeDecor Fabric Double Sofa Bed,FabHomeDecor,Furniture,Pune,07-04-2023,2023-04,32157,22646,29.6,10-30%,Luxury (5000+),230,6808,0,Not Rated,,,,,
Style Foot Bellies,Style Foot,Footwear,Chennai,03-10-2023,2023-10,899,449,50.1,50%+,Mid (500-1500),337,16884,0,Not Rated,,,,,
